*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=cascade_trigger_01
*Date=17:18:37
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
364;;;30.7595;-50.5926;0;Bottom;Copper Fill309
365;;;68.0721;-21.3826;0;Bottom;Copper Fill372
366;;;32.5121;-68.3726;0;Bottom;Copper Fill422
367;;;40.1321;-16.3026;0;Bottom;Copper Fill450
368;2nF;100 mil [THT, multilayer];118.073;-20.0567;-90;Bottom;100pF5
369;;;119.913;-19.8967;0;Bottom;Copper Fill81
370;;;77.1907;-73.059;0;Bottom;Copper Fill5
371;;;139.586;-66.1755;0;Bottom;Copper Fill388
372;;;43.1166;-7.73006;0;Bottom;Copper Fill459
373;;;127.127;-20.5063;0;Bottom;Copper Fill276
374;;;88.0365;-78.1898;0;Bottom;Copper Fill16
375;;;88.1889;-58.3015;0;Bottom;Copper Fill249
376;;;1.8034;-2.01506;0;Bottom;Copper Fill288
377;;;139.586;-56.6251;0;Bottom;Copper Fill121
378;;;43.1166;-2.65006;0;Bottom;Copper Fill215
379;;;144.666;-54.7455;0;Bottom;Copper Fill298
380;10k;THT;129.503;-25.1415;180;Bottom;Pdwn 10k4
381;;;138.722;-17.9155;0;Bottom;Copper Fill402
382;4.7µF;100 mil [THT, electrolytic];39.3263;-64.5047;-90;Bottom;100µF2
383;;;55.4737;-3.60256;0;Bottom;Copper Fill475
384;;;82.7025;-20.0745;0;Bottom;Copper Fill75
385;;;106.782;-54.0343;0;Bottom;Copper Fill252
386;;;78.6893;-16.7471;0;Bottom;Copper Fill72
387;;;24.0666;-9.63506;0;Bottom;Copper Fill232
388;2nF;100 mil [THT, multilayer];90.1263;-64.5095;90;Bottom;100pF3
389;;;143.739;-72.1827;0;Bottom;Copper Fill392
390;;;112.979;-7.32366;0;Bottom;Copper Fill101
391;;;45.6736;-2.7039;180;Bottom;T1_13
392;;;11.3666;-75.0656;0;Bottom;Copper Fill137
393;;;54.0005;-64.6515;0;Bottom;Copper Fill45
394;;;143.802;-30.6155;0;Bottom;Copper Fill433
395;;;40.1321;-16.3026;0;Bottom;Copper Fill208
396;;;139.586;-73.1352;0;Bottom;Copper Fill384
397;;;96.2153;-39.9119;0;Bottom;Copper Fill262
398;;;52.228;-42.1503;0;Bottom;Via11
399;;;24.0666;-2.70086;0;Bottom;Copper Fill230
400;;;34.2266;-51.4943;0;Bottom;Copper Fill340
401;;;84.9477;-49.4936;0;Bottom;TXT2
402;;;44.3866;-51.4943;0;Bottom;Copper Fill451
403;;;5.0165;-59.0635;0;Bottom;Copper Fill394
404;;DIP (Dual Inline) [THT];27.8963;-67.0448;0;Bottom;termin 1
405;;;43.1293;-45.3983;0;Bottom;Copper Fill256
406;;;12.2937;-81.0727;0;Bottom;Copper Fill357
407;;;15.4941;-81.0727;0;Bottom;Copper Fill352
408;;;53.2766;-22.2335;0;Bottom;Copper Fill157
409;;;92.5577;-39.9119;0;Bottom;Copper Fill65
410;;;23.1141;-3.65336;0;Bottom;Copper Fill513
411;;;12.2937;-75.9927;0;Bottom;Copper Fill330
412;;;144.666;-73.1352;0;Bottom;Copper Fill167
413;10k;THT;128.233;-54.3515;0;Bottom;Pdwn 10k10
414;;;42.1641;-8.68256;0;Bottom;Copper Fill460
415;;;83.7947;-79.7392;0;Bottom;Copper Fill15
416;;;73.4568;-41.817;0;Bottom;Copper Fill289
417;;;40.1321;-18.8426;0;Bottom;Copper Fill204
418;;;123.622;-78.1898;0;Bottom;Copper Fill18
419;;;65.9766;-26.0435;0;Bottom;Copper Fill191
420;;;24.0666;-2.70086;0;Bottom;Copper Fill512
421;;;118.085;-67.0391;0;Bottom;Copper Fill39
422;;;7.5565;-7.75546;0;Bottom;Copper Fill488
423;;;81.2293;-7.39986;0;Bottom;Copper Fill98
424;;;145.57;-58.1448;90;Bottom;trig_in_4
